snapshot_0000,OccupancySurge
snapshot_0001,FireSmoke
snapshot_0002,HVACFault
snapshot_0003,Normal
snapshot_0004,HVACFault
snapshot_0005,FireSmoke
snapshot_0006,FireSmoke
snapshot_0007,Normal
snapshot_0008,Normal
snapshot_0009,HVACFault
snapshot_0010,SpoofingAttack
snapshot_0011,OccupancySurge
snapshot_0012,Normal
snapshot_0013,OccupancySurge
snapshot_0014,FireSmoke
snapshot_0015,HVACFault
snapshot_0016,SpoofingAttack
snapshot_0017,HVACFault
snapshot_0018,FireSmoke
snapshot_0019,SpoofingAttack
snapshot_0020,SpoofingAttack
snapshot_0021,FireSmoke
snapshot_0022,SpoofingAttack
snapshot_0023,SpoofingAttack
snapshot_0024,OccupancySurge
snapshot_0025,HVACFault
snapshot_0026,OccupancySurge
snapshot_0027,OccupancySurge
snapshot_0028,OccupancySurge
snapshot_0029,SpoofingAttack
snapshot_0030,OccupancySurge
snapshot_0031,HVACFault
snapshot_0032,HVACFault
snapshot_0033,Normal
snapshot_0034,SpoofingAttack
snapshot_0035,Normal
snapshot_0036,OccupancySurge
snapshot_0037,Normal
snapshot_0038,Normal
snapshot_0039,HVACFault
snapshot_0040,HVACFault
snapshot_0041,OccupancySurge
snapshot_0042,OccupancySurge
snapshot_0043,Normal
snapshot_0044,FireSmoke
snapshot_0045,Normal
snapshot_0046,FireSmoke
snapshot_0047,SpoofingAttack
snapshot_0048,HVACFault
snapshot_0049,FireSmoke
snapshot_0050,FireSmoke
snapshot_0051,SpoofingAttack
snapshot_0052,SpoofingAttack
snapshot_0053,FireSmoke
snapshot_0054,FireSmoke
snapshot_0055,FireSmoke
snapshot_0056,Normal
snapshot_0057,OccupancySurge
snapshot_0058,OccupancySurge
snapshot_0059,Normal
snapshot_0060,FireSmoke
snapshot_0061,HVACFault
snapshot_0062,Normal
snapshot_0063,OccupancySurge
snapshot_0064,Normal
snapshot_0065,Normal
snapshot_0066,OccupancySurge
snapshot_0067,FireSmoke
snapshot_0068,HVACFault
snapshot_0069,Normal
snapshot_0070,SpoofingAttack
snapshot_0071,HVACFault
snapshot_0072,HVACFault
snapshot_0073,HVACFault
snapshot_0074,SpoofingAttack
snapshot_0075,Normal
snapshot_0076,SpoofingAttack
snapshot_0077,HVACFault
snapshot_0078,OccupancySurge
snapshot_0079,Normal
snapshot_0080,Normal
snapshot_0081,HVACFault
snapshot_0082,OccupancySurge
snapshot_0083,OccupancySurge
snapshot_0084,SpoofingAttack
snapshot_0085,HVACFault
snapshot_0086,OccupancySurge
snapshot_0087,HVACFault
snapshot_0088,SpoofingAttack
snapshot_0089,OccupancySurge
snapshot_0090,Normal
snapshot_0091,FireSmoke
snapshot_0092,FireSmoke
snapshot_0093,SpoofingAttack
snapshot_0094,SpoofingAttack
snapshot_0095,Normal
snapshot_0096,OccupancySurge
snapshot_0097,HVACFault
snapshot_0098,HVACFault
snapshot_0099,HVACFault
snapshot_0100,OccupancySurge
snapshot_0101,SpoofingAttack
snapshot_0102,FireSmoke
snapshot_0103,Normal
snapshot_0104,FireSmoke
snapshot_0105,Normal
snapshot_0106,OccupancySurge
snapshot_0107,OccupancySurge
snapshot_0108,Normal
snapshot_0109,FireSmoke
snapshot_0110,SpoofingAttack
snapshot_0111,OccupancySurge
snapshot_0112,FireSmoke
snapshot_0113,SpoofingAttack
snapshot_0114,OccupancySurge
snapshot_0115,FireSmoke
snapshot_0116,Normal
snapshot_0117,SpoofingAttack
snapshot_0118,Normal
snapshot_0119,SpoofingAttack
snapshot_0120,Normal
snapshot_0121,Normal
snapshot_0122,Normal
snapshot_0123,HVACFault
snapshot_0124,OccupancySurge
snapshot_0125,SpoofingAttack
